date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Stock Name
2022-08-02,134.72,137.44,134.09,134.16,134.16,61922429,0.0000,1.0,AMZN
2022-08-01,134.96,138.8339,133.51,135.39,135.39,76846908,0.0000,1.0,AMZN
2022-07-29,134.9,137.65,132.41,134.95,134.95,148892889,0.0000,1.0,AMZN
2022-07-28,121.57,122.84,118.08,122.28,122.28,82245543,0.0000,1.0,AMZN
2022-07-27,117.31,121.9,117.16,120.97,120.97,61582015,0.0000,1.0,AMZN
2022-07-26,115.79,118.15,114.53,114.81,114.81,67075064,0.0000,1.0,AMZN
2022-07-25,122.695,123.64,120.03,121.14,121.14,50221259,0.0000,1.0,AMZN
2022-07-22,125.01,125.5,121.3504,122.42,122.42,51463797,0.0000,1.0,AMZN
2022-07-21,123.2,124.85,121.26,124.63,124.63,60239892,0.0000,1.0,AMZN
2022-07-20,118.615,123.475,118.32,122.77,122.77,71268322,0.0000,1.0,AMZN
2022-07-19,115.7,118.95,114.03,118.21,118.21,60990043,0.0000,1.0,AMZN
2022-07-18,115.0,117.24,113.15,113.76,113.76,59115419,0.0000,1.0,AMZN
2022-07-15,112.5,115.59,111.59,113.55,113.55,84317816,0.0000,1.0,AMZN
2022-07-14,110.24,111.18,107.58,110.63,110.63,51163140,0.0000,1.0,AMZN
2022-07-13,107.03,111.78,106.01,110.4,110.4,61353812,0.0000,1.0,AMZN
2022-07-12,112.16,113.23,108.34,109.22,109.22,54280257,0.0000,1.0,AMZN
2022-07-11,114.08,114.3,110.87,111.75,111.75,53540019,0.0000,1.0,AMZN
2022-07-08,114.6,116.58,113.69,115.54,115.54,45719694,0.0000,1.0,AMZN
2022-07-07,113.85,116.99,113.49,116.33,116.33,57872323,0.0000,1.0,AMZN
2022-07-06,113.21,115.48,112.01,114.33,114.33,66958884,0.0000,1.0,AMZN
2022-07-05,107.6,114.08,106.3242,113.5,113.5,76684414,0.0000,1.0,AMZN
2022-07-01,106.29,109.75,105.8469,109.56,109.56,73021171,0.0000,1.0,AMZN
2022-06-30,108.11,108.18,102.52,106.21,106.21,97679401,0.0000,1.0,AMZN
2022-06-29,107.38,110.99,106.91,108.92,108.92,66375341,0.0000,1.0,AMZN
2022-06-28,113.5,114.85,107.04,107.4,107.4,75172028,0.0000,1.0,AMZN
2022-11-16,309.94,310.49,303.61,306.02,306.02,8024797,0.0000,1.0,NFLX
2022-11-15,309.2,312.71,302.55,310.2,310.2,14626932,0.0000,1.0,NFLX
2022-11-14,290.0,311.0,288.19,299.27,299.27,17973398,0.0000,1.0,NFLX
2022-11-11,274.47,290.66,271.5577,290.13,290.13,9573834,0.0000,1.0,NFLX
